HIV/AIDS and tuberculosis,,,,,,,,,,
Location,FIPS,"Mortality Rate, 1980*","Mortality Rate, 1985*","Mortality Rate, 1990*","Mortality Rate, 1995*","Mortality Rate, 2000*","Mortality Rate, 2005*","Mortality Rate, 2010*","Mortality Rate, 2014*","% Change in Mortality Rate, 1980-2014"
"Boone County, Nebraska",31011,"0.59 (0.36, 0.88)","0.77 (0.53, 1.08)","3.29 (2.49, 4.28)","5.78 (4.48, 7.35)","1.49 (1.03, 2.01)","1.18 (0.79, 1.69)","0.69 (0.44, 1.05)","0.56 (0.33, 0.87)","-5.38 (-40.85, 55.29)"
"Box Butte County, Nebraska",31013,"0.69 (0.43, 1.05)","0.87 (0.58, 1.22)","3.30 (2.48, 4.25)","5.48 (4.23, 6.93)","1.46 (1.01, 2.01)","1.15 (0.75, 1.64)","0.68 (0.41, 1.06)","0.55 (0.31, 0.84)","-20.33 (-53.37, 34.86)"
"Boyd County, Nebraska",31015,"0.56 (0.34, 0.86)","0.70 (0.46, 1.00)","3.01 (2.20, 4.00)","5.01 (3.80, 6.39)","1.26 (0.85, 1.79)","1.00 (0.64, 1.51)","0.58 (0.35, 0.91)","0.46 (0.26, 0.74)","-17.90 (-48.68, 30.14)"
"Brown County, Nebraska",31017,"0.61 (0.38, 0.92)","0.75 (0.50, 1.09)","3.03 (2.23, 4.04)","5.16 (3.87, 6.73)","1.34 (0.91, 1.94)","1.05 (0.68, 1.61)","0.64 (0.36, 1.02)","0.50 (0.27, 0.83)","-18.04 (-52.20, 34.42)"
"Buffalo County, Nebraska",31019,"0.54 (0.36, 0.78)","0.68 (0.50, 0.93)","2.75 (2.18, 3.46)","4.74 (3.88, 5.77)","1.25 (0.96, 1.62)","0.98 (0.72, 1.31)","0.60 (0.41, 0.85)","0.48 (0.32, 0.69)","-11.56 (-43.89, 40.78)"
"Burt County, Nebraska",31021,"0.52 (0.34, 0.76)","0.71 (0.51, 0.99)","3.35 (2.55, 4.26)","5.62 (4.38, 7.11)","1.47 (1.06, 1.96)","1.17 (0.81, 1.61)","0.70 (0.45, 1.04)","0.58 (0.36, 0.89)","12.15 (-29.55, 78.61)"
"Butler County, Nebraska",31023,"0.40 (0.26, 0.56)","0.55 (0.38, 0.74)","2.44 (1.86, 3.14)","4.22 (3.27, 5.34)","1.06 (0.76, 1.39)","0.82 (0.55, 1.17)","0.48 (0.31, 0.70)","0.38 (0.24, 0.57)","-3.47 (-40.24, 50.14)"
"Cass County, Nebraska",31025,"0.49 (0.33, 0.73)","0.73 (0.52, 0.99)","3.50 (2.77, 4.37)","6.17 (5.04, 7.56)","1.65 (1.25, 2.14)","1.36 (1.01, 1.81)","0.87 (0.59, 1.21)","0.75 (0.49, 1.07)","50.83 (-3.10, 135.68)"
"Cedar County, Nebraska",31027,"0.41 (0.26, 0.62)","0.54 (0.36, 0.77)","2.43 (1.80, 3.17)","4.05 (3.13, 5.13)","0.98 (0.70, 1.35)","0.74 (0.49, 1.09)","0.44 (0.28, 0.69)","0.34 (0.21, 0.54)","-16.13 (-46.79, 37.01)"
"Chase County, Nebraska",31029,"0.55 (0.33, 0.85)","0.70 (0.46, 1.01)","3.10 (2.24, 4.05)","5.37 (4.01, 6.97)","1.39 (0.91, 2.00)","1.10 (0.67, 1.64)","0.66 (0.37, 1.07)","0.53 (0.28, 0.90)","-3.62 (-46.40, 62.84)"
"Cherry County, Nebraska",31031,"0.61 (0.43, 0.86)","0.78 (0.58, 1.03)","3.10 (2.43, 3.85)","5.62 (4.47, 6.99)","1.54 (1.14, 2.02)","1.24 (0.88, 1.68)","0.79 (0.52, 1.11)","0.65 (0.41, 0.94)","5.28 (-32.22, 58.17)"
"Cheyenne County, Nebraska",31033,"0.63 (0.40, 0.94)","0.76 (0.54, 1.06)","3.01 (2.29, 3.86)","5.23 (4.09, 6.48)","1.35 (0.96, 1.82)","1.04 (0.70, 1.47)","0.61 (0.39, 0.93)","0.49 (0.30, 0.75)","-22.18 (-53.11, 21.83)"
"Clay County, Nebraska",31035,"0.50 (0.32, 0.75)","0.65 (0.45, 0.96)","2.93 (2.21, 3.81)","5.07 (3.83, 6.47)","1.35 (0.93, 1.89)","1.06 (0.70, 1.53)","0.63 (0.39, 0.95)","0.50 (0.29, 0.78)","0.49 (-36.16, 53.47)"
"Colfax County, Nebraska",31037,"0.45 (0.27, 0.70)","0.58 (0.39, 0.84)","2.52 (1.87, 3.31)","4.56 (3.40, 5.97)","1.43 (0.99, 2.01)","1.20 (0.79, 1.67)","0.83 (0.50, 1.25)","0.72 (0.42, 1.11)","60.04 (-4.21, 157.43)"
"Cuming County, Nebraska",31039,"0.44 (0.27, 0.64)","0.59 (0.40, 0.81)","2.56 (1.96, 3.33)","4.34 (3.40, 5.46)","1.23 (0.88, 1.66)","0.97 (0.67, 1.35)","0.59 (0.37, 0.87)","0.48 (0.30, 0.73)","11.12 (-30.16, 74.11)"
"Custer County, Nebraska",31041,"0.50 (0.34, 0.75)","0.65 (0.45, 0.91)","2.81 (2.15, 3.58)","4.84 (3.75, 6.09)","1.22 (0.87, 1.68)","0.96 (0.64, 1.35)","0.56 (0.34, 0.83)","0.45 (0.27, 0.71)","-10.08 (-43.66, 42.22)"
"Dakota County, Nebraska",31043,"0.50 (0.29, 0.76)","0.70 (0.46, 1.02)","3.21 (2.42, 4.16)","5.63 (4.37, 7.05)","1.60 (1.12, 2.20)","1.35 (0.90, 1.90)","0.91 (0.57, 1.35)","0.74 (0.43, 1.15)","49.74 (-7.80, 151.50)"
"Dawes County, Nebraska",31045,"0.86 (0.55, 1.29)","1.07 (0.74, 1.50)","3.89 (2.97, 5.04)","6.28 (4.83, 7.89)","1.79 (1.28, 2.43)","1.47 (0.98, 2.03)","0.93 (0.58, 1.38)","0.79 (0.47, 1.19)","-8.34 (-43.66, 50.45)"
"Dawson County, Nebraska",31047,"0.49 (0.32, 0.73)","0.68 (0.48, 0.93)","2.99 (2.30, 3.76)","5.48 (4.36, 6.64)","1.69 (1.25, 2.22)","1.47 (1.03, 1.99)","0.95 (0.64, 1.37)","0.79 (0.51, 1.17)","62.65 (0.28, 161.34)"
"Deuel County, Nebraska",31049,"0.62 (0.40, 0.96)","0.78 (0.52, 1.13)","3.32 (2.44, 4.37)","5.49 (4.20, 6.99)","1.44 (0.97, 2.04)","1.14 (0.72, 1.72)","0.69 (0.40, 1.11)","0.56 (0.31, 0.92)","-9.19 (-46.54, 48.20)"
"Dixon County, Nebraska",31051,"0.43 (0.27, 0.65)","0.56 (0.39, 0.79)","2.63 (1.93, 3.46)","4.50 (3.42, 5.82)","1.17 (0.81, 1.65)","0.95 (0.63, 1.36)","0.58 (0.36, 0.88)","0.47 (0.28, 0.73)","9.60 (-34.02, 73.45)"
"Dodge County, Nebraska",31053,"0.49 (0.34, 0.69)","0.71 (0.52, 0.94)","3.23 (2.58, 3.90)","5.44 (4.49, 6.48)","1.50 (1.17, 1.91)","1.31 (0.97, 1.73)","0.83 (0.59, 1.17)","0.73 (0.50, 1.03)","47.32 (-4.38, 127.39)"
"Douglas County, Nebraska",31055,"0.89 (0.69, 1.13)","1.59 (1.31, 1.90)","6.30 (5.72, 6.92)","9.72 (8.96, 10.55)","3.37 (3.00, 3.78)","2.97 (2.60, 3.37)","1.90 (1.61, 2.18)","1.70 (1.43, 2.00)","90.28 (39.55, 160.89)"
"Dundy County, Nebraska",31057,"0.52 (0.33, 0.78)","0.65 (0.44, 0.94)","3.06 (2.22, 4.01)","5.35 (4.01, 6.88)","1.30 (0.87, 1.88)","1.04 (0.65, 1.58)","0.60 (0.34, 0.95)","0.47 (0.26, 0.77)","-10.11 (-47.07, 41.22)"
"Fillmore County, Nebraska",31059,"0.53 (0.34, 0.78)","0.66 (0.44, 0.93)","2.80 (2.03, 3.64)","4.67 (3.57, 5.95)","1.20 (0.83, 1.67)","0.90 (0.60, 1.29)","0.53 (0.33, 0.81)","0.42 (0.26, 0.65)","-19.87 (-49.94, 24.09)"
"Franklin County, Nebraska",31061,"0.45 (0.28, 0.68)","0.59 (0.39, 0.85)","2.80 (2.01, 3.71)","5.03 (3.70, 6.59)","1.23 (0.82, 1.74)","0.93 (0.59, 1.37)","0.52 (0.30, 0.84)","0.41 (0.23, 0.68)","-9.41 (-47.27, 47.29)"
"Frontier County, Nebraska",31063,"0.43 (0.27, 0.65)","0.56 (0.38, 0.79)","2.47 (1.86, 3.24)","4.23 (3.31, 5.36)","1.08 (0.76, 1.48)","0.85 (0.57, 1.21)","0.50 (0.31, 0.75)","0.39 (0.24, 0.59)","-9.78 (-43.57, 40.96)"
"Furnas County, Nebraska",31065,"0.56 (0.34, 0.85)","0.69 (0.46, 0.98)","2.85 (2.07, 3.66)","4.88 (3.68, 6.20)","1.27 (0.85, 1.76)","1.00 (0.66, 1.45)","0.60 (0.37, 0.91)","0.48 (0.28, 0.78)","-13.77 (-46.42, 44.71)"
"Gage County, Nebraska",31067,"0.49 (0.34, 0.69)","0.70 (0.51, 0.94)","3.40 (2.70, 4.17)","5.48 (4.44, 6.64)","1.43 (1.08, 1.85)","1.11 (0.79, 1.50)","0.65 (0.44, 0.90)","0.52 (0.35, 0.75)","5.61 (-30.91, 65.27)"
"Garden County, Nebraska",31069,"0.58 (0.38, 0.85)","0.73 (0.49, 1.01)","3.19 (2.41, 4.17)","5.63 (4.28, 7.25)","1.42 (0.99, 1.95)","1.16 (0.77, 1.67)","0.70 (0.43, 1.09)","0.56 (0.33, 0.90)","-3.84 (-40.62, 57.41)"
"Garfield County, Nebraska",31071,"0.51 (0.31, 0.79)","0.67 (0.44, 0.99)","2.95 (2.12, 3.87)","5.05 (3.74, 6.59)","1.35 (0.87, 1.93)","1.09 (0.69, 1.65)","0.69 (0.39, 1.09)","0.55 (0.31, 0.90)","8.41 (-35.97, 84.13)"
"Gosper County, Nebraska",31073,"0.44 (0.25, 0.70)","0.54 (0.34, 0.81)","2.34 (1.64, 3.17)","4.19 (3.00, 5.61)","1.07 (0.66, 1.62)","0.83 (0.48, 1.32)","0.48 (0.24, 0.79)","0.39 (0.19, 0.67)","-10.60 (-49.24, 48.64)"
"Grant County, Nebraska",31075,"0.53 (0.33, 0.79)","0.69 (0.46, 0.98)","2.99 (2.18, 4.01)","5.29 (3.96, 6.84)","1.34 (0.89, 1.91)","1.05 (0.65, 1.53)","0.63 (0.36, 1.01)","0.49 (0.27, 0.81)","-8.92 (-45.76, 47.79)"
"Greeley County, Nebraska",31077,"0.50 (0.31, 0.75)","0.65 (0.42, 0.93)","3.04 (2.18, 4.08)","5.13 (3.79, 6.69)","1.27 (0.83, 1.83)","0.96 (0.58, 1.44)","0.57 (0.32, 0.90)","0.44 (0.23, 0.73)","-12.41 (-48.66, 49.46)"
"Hall County, Nebraska",31079,"0.64 (0.43, 0.91)","0.88 (0.65, 1.18)","3.68 (2.98, 4.45)","6.76 (5.62, 7.94)","1.92 (1.48, 2.41)","1.56 (1.16, 2.04)","1.02 (0.70, 1.40)","0.86 (0.57, 1.24)","33.35 (-19.70, 116.13)"
"Hamilton County, Nebraska",31081,"0.47 (0.31, 0.70)","0.63 (0.44, 0.88)","2.84 (2.16, 3.65)","4.96 (3.85, 6.24)","1.26 (0.89, 1.77)","0.97 (0.66, 1.40)","0.56 (0.34, 0.84)","0.45 (0.26, 0.72)","-5.75 (-44.22, 52.90)"
"Harlan County, Nebraska",31083,"0.42 (0.26, 0.64)","0.56 (0.37, 0.81)","2.54 (1.89, 3.40)","4.44 (3.34, 5.84)","1.13 (0.78, 1.64)","0.87 (0.54, 1.33)","0.49 (0.28, 0.80)","0.40 (0.22, 0.66)","-5.28 (-42.26, 52.01)"
"Hayes County, Nebraska",31085,"0.42 (0.27, 0.65)","0.55 (0.37, 0.77)","2.45 (1.80, 3.22)","4.19 (3.14, 5.54)","1.08 (0.73, 1.53)","0.86 (0.55, 1.25)","0.48 (0.28, 0.75)","0.38 (0.22, 0.61)","-9.67 (-46.18, 43.73)"
"Hitchcock County, Nebraska",31087,"0.52 (0.31, 0.81)","0.66 (0.44, 0.96)","2.89 (2.11, 3.84)","4.79 (3.62, 6.23)","1.22 (0.79, 1.76)","0.92 (0.58, 1.37)","0.56 (0.32, 0.88)","0.45 (0.26, 0.76)","-13.01 (-49.09, 42.53)"
"Holt County, Nebraska",31089,"0.51 (0.33, 0.74)","0.65 (0.46, 0.91)","2.83 (2.16, 3.63)","4.70 (3.74, 5.96)","1.20 (0.87, 1.66)","0.95 (0.67, 1.39)","0.56 (0.36, 0.85)","0.46 (0.29, 0.72)","-9.33 (-45.02, 42.39)"
"Hooker County, Nebraska",31091,"0.58 (0.36, 0.91)","0.71 (0.46, 1.02)","3.11 (2.25, 4.13)","5.38 (3.96, 7.16)","1.39 (0.91, 2.04)","1.02 (0.64, 1.55)","0.64 (0.36, 1.01)","0.52 (0.28, 0.86)","-11.20 (-49.16, 45.59)"
"Howard County, Nebraska",31093,"0.45 (0.28, 0.66)","0.59 (0.40, 0.85)","2.75 (2.02, 3.68)","4.90 (3.61, 6.26)","1.23 (0.82, 1.69)","0.93 (0.57, 1.37)","0.53 (0.32, 0.84)","0.42 (0.23, 0.66)","-5.80 (-44.09, 51.29)"
"Jefferson County, Nebraska",31095,"0.48 (0.29, 0.73)","0.62 (0.41, 0.90)","2.83 (2.12, 3.79)","4.84 (3.69, 6.43)","1.18 (0.80, 1.69)","0.92 (0.59, 1.38)","0.52 (0.31, 0.81)","0.41 (0.24, 0.68)","-12.72 (-47.23, 38.38)"
"Johnson County, Nebraska",31097,"0.45 (0.29, 0.70)","0.61 (0.42, 0.88)","2.96 (2.21, 3.90)","5.01 (3.80, 6.42)","1.26 (0.89, 1.78)","1.20 (0.79, 1.74)","0.72 (0.44, 1.12)","0.62 (0.36, 0.98)","37.30 (-16.40, 125.62)"
"Kearney County, Nebraska",31099,"0.45 (0.28, 0.69)","0.59 (0.40, 0.86)","2.68 (2.01, 3.59)","4.72 (3.57, 6.02)","1.22 (0.83, 1.75)","0.94 (0.62, 1.38)","0.53 (0.32, 0.85)","0.43 (0.25, 0.70)","-4.99 (-43.01, 52.32)"
"Keith County, Nebraska",31101,"0.60 (0.39, 0.89)","0.82 (0.57, 1.16)","3.48 (2.65, 4.52)","5.97 (4.66, 7.58)","1.60 (1.13, 2.27)","1.25 (0.82, 1.82)","0.79 (0.48, 1.26)","0.65 (0.38, 1.06)","8.45 (-35.39, 75.16)"
"Keya Paha County, Nebraska",31103,"0.55 (0.37, 0.81)","0.63 (0.44, 0.86)","2.67 (2.01, 3.40)","4.74 (3.64, 5.96)","1.23 (0.88, 1.66)","0.94 (0.66, 1.30)","0.55 (0.37, 0.79)","0.44 (0.28, 0.66)","-20.28 (-49.30, 22.47)"
"Kimball County, Nebraska",31105,"0.64 (0.42, 0.99)","0.75 (0.52, 1.11)","3.03 (2.26, 3.95)","5.19 (3.94, 6.78)","1.29 (0.87, 1.81)","1.00 (0.64, 1.45)","0.57 (0.34, 0.89)","0.43 (0.26, 0.69)","-31.96 (-56.76, 8.09)"
"Knox County, Nebraska",31107,"0.55 (0.37, 0.80)","0.70 (0.50, 0.95)","2.91 (2.22, 3.64)","5.01 (3.92, 6.15)","1.39 (1.02, 1.83)","1.10 (0.77, 1.53)","0.68 (0.44, 0.98)","0.56 (0.36, 0.83)","0.79 (-38.44, 60.11)"
"Lancaster County, Nebraska",31109,"0.61 (0.45, 0.81)","0.95 (0.77, 1.16)","3.85 (3.37, 4.38)","6.32 (5.67, 7.06)","1.94 (1.67, 2.27)","1.60 (1.35, 1.88)","1.08 (0.86, 1.33)","0.95 (0.76, 1.17)","55.69 (7.54, 124.50)"
"Lincoln County, Nebraska",31111,"0.59 (0.40, 0.84)","0.79 (0.57, 1.07)","3.30 (2.63, 4.08)","5.65 (4.52, 6.96)","1.57 (1.19, 2.03)","1.26 (0.91, 1.67)","0.80 (0.55, 1.12)","0.72 (0.48, 1.03)","21.57 (-21.22, 89.95)"
"Logan County, Nebraska",31113,"0.52 (0.32, 0.79)","0.65 (0.43, 0.94)","2.79 (2.02, 3.72)","4.89 (3.60, 6.47)","1.28 (0.85, 1.85)","1.01 (0.64, 1.50)","0.60 (0.35, 0.95)","0.46 (0.27, 0.76)","-11.24 (-45.79, 44.08)"
"Loup County, Nebraska",31115,"0.44 (0.27, 0.68)","0.56 (0.37, 0.82)","2.42 (1.78, 3.22)","4.47 (3.21, 5.71)","1.14 (0.76, 1.60)","0.88 (0.56, 1.30)","0.51 (0.29, 0.79)","0.39 (0.22, 0.62)","-11.41 (-46.75, 39.87)"
"Madison County, Nebraska",31119,"0.53 (0.36, 0.76)","0.76 (0.54, 1.03)","3.28 (2.66, 3.99)","5.66 (4.69, 6.77)","1.64 (1.23, 2.12)","1.42 (1.03, 1.88)","0.92 (0.63, 1.28)","0.77 (0.50, 1.13)","46.40 (-6.30, 129.32)"
"McPherson County, Nebraska",31117,"0.41 (0.25, 0.64)","0.51 (0.32, 0.75)","2.28 (1.60, 3.05)","4.11 (3.02, 5.37)","1.06 (0.69, 1.56)","0.79 (0.51, 1.21)","0.50 (0.29, 0.84)","0.39 (0.22, 0.64)","-4.67 (-41.69, 58.00)"
"Merrick County, Nebraska",31121,"0.49 (0.30, 0.72)","0.66 (0.45, 0.93)","3.04 (2.30, 3.98)","5.50 (4.21, 6.93)","1.42 (0.98, 1.93)","1.12 (0.73, 1.64)","0.66 (0.40, 1.02)","0.54 (0.31, 0.86)","10.37 (-35.74, 77.73)"
"Morrill County, Nebraska",31123,"0.68 (0.43, 0.99)","0.82 (0.55, 1.15)","3.34 (2.50, 4.36)","5.73 (4.43, 7.22)","1.45 (1.00, 1.96)","1.13 (0.74, 1.66)","0.69 (0.41, 1.09)","0.57 (0.33, 0.92)","-16.31 (-49.98, 39.62)"
"Nance County, Nebraska",31125,"0.49 (0.30, 0.76)","0.64 (0.43, 0.94)","3.21 (2.31, 4.29)","5.79 (4.32, 7.50)","1.42 (0.95, 2.06)","1.05 (0.63, 1.62)","0.60 (0.34, 1.01)","0.48 (0.24, 0.84)","-3.38 (-44.11, 59.40)"
"Nemaha County, Nebraska",31127,"0.57 (0.36, 0.89)","0.76 (0.52, 1.08)","3.32 (2.51, 4.34)","5.44 (4.14, 7.11)","1.43 (0.99, 2.04)","1.10 (0.72, 1.60)","0.65 (0.39, 1.01)","0.53 (0.31, 0.85)","-7.65 (-42.76, 45.53)"
"Nuckolls County, Nebraska",31129,"0.44 (0.29, 0.65)","0.60 (0.41, 0.82)","2.67 (2.02, 3.54)","4.64 (3.57, 5.94)","1.19 (0.81, 1.66)","0.90 (0.58, 1.32)","0.52 (0.32, 0.82)","0.42 (0.24, 0.69)","-5.90 (-44.58, 55.41)"
"Otoe County, Nebraska",31131,"0.52 (0.35, 0.75)","0.70 (0.50, 0.94)","3.17 (2.45, 3.99)","5.66 (4.53, 7.05)","1.55 (1.14, 2.09)","1.24 (0.86, 1.69)","0.75 (0.48, 1.08)","0.62 (0.38, 0.95)","19.87 (-23.21, 92.75)"
"Pawnee County, Nebraska",31133,"0.47 (0.30, 0.69)","0.61 (0.41, 0.89)","2.63 (1.97, 3.43)","4.53 (3.49, 5.73)","1.09 (0.77, 1.53)","0.83 (0.55, 1.21)","0.49 (0.30, 0.74)","0.38 (0.22, 0.59)","-20.14 (-51.36, 28.51)"
"Perkins County, Nebraska",31135,"0.56 (0.36, 0.86)","0.72 (0.49, 1.07)","3.17 (2.40, 4.17)","5.54 (4.21, 7.12)","1.43 (0.98, 2.03)","1.13 (0.72, 1.70)","0.67 (0.38, 1.08)","0.53 (0.29, 0.89)","-5.87 (-43.74, 49.54)"
"Phelps County, Nebraska",31137,"0.46 (0.29, 0.68)","0.60 (0.41, 0.84)","2.69 (2.05, 3.47)","4.73 (3.65, 6.02)","1.19 (0.82, 1.68)","0.90 (0.59, 1.32)","0.52 (0.31, 0.81)","0.42 (0.24, 0.71)","-7.83 (-44.15, 53.53)"
"Pierce County, Nebraska",31139,"0.48 (0.32, 0.72)","0.64 (0.45, 0.88)","2.87 (2.19, 3.77)","4.89 (3.82, 6.11)","1.30 (0.92, 1.75)","1.02 (0.69, 1.44)","0.62 (0.39, 0.92)","0.50 (0.31, 0.75)","5.15 (-37.56, 68.64)"
"Platte County, Nebraska",31141,"0.51 (0.35, 0.72)","0.70 (0.52, 0.94)","3.06 (2.45, 3.72)","4.98 (4.01, 6.00)","1.47 (1.14, 1.88)","1.19 (0.88, 1.58)","0.75 (0.53, 1.06)","0.62 (0.41, 0.87)","21.02 (-21.55, 85.57)"
"Polk County, Nebraska",31143,"0.47 (0.30, 0.71)","0.61 (0.41, 0.87)","2.62 (1.97, 3.39)","4.35 (3.36, 5.58)","1.17 (0.80, 1.58)","0.93 (0.59, 1.34)","0.56 (0.34, 0.86)","0.45 (0.26, 0.72)","-3.59 (-43.05, 54.05)"
"Red Willow County, Nebraska",31145,"0.52 (0.32, 0.78)","0.68 (0.45, 0.99)","2.86 (2.13, 3.77)","4.76 (3.66, 6.07)","1.26 (0.87, 1.74)","0.99 (0.63, 1.47)","0.61 (0.37, 0.98)","0.49 (0.28, 0.80)","-4.63 (-44.49, 62.67)"
"Richardson County, Nebraska",31147,"0.61 (0.40, 0.89)","0.86 (0.62, 1.19)","3.79 (2.94, 4.82)","6.20 (4.92, 7.91)","1.68 (1.22, 2.30)","1.30 (0.89, 1.84)","0.80 (0.51, 1.22)","0.63 (0.38, 1.00)","4.32 (-39.46, 73.66)"
"Rock County, Nebraska",31149,"0.48 (0.31, 0.72)","0.61 (0.41, 0.88)","2.63 (1.89, 3.42)","4.54 (3.37, 5.92)","1.17 (0.78, 1.62)","0.92 (0.58, 1.37)","0.53 (0.30, 0.84)","0.43 (0.24, 0.71)","-10.82 (-47.83, 46.25)"
"Saline County, Nebraska",31151,"0.52 (0.33, 0.75)","0.66 (0.46, 0.90)","2.76 (2.10, 3.46)","4.88 (3.86, 6.00)","1.40 (1.01, 1.86)","1.20 (0.83, 1.64)","0.82 (0.53, 1.19)","0.66 (0.39, 1.01)","28.19 (-20.99, 99.10)"
"Sarpy County, Nebraska",31153,"0.54 (0.37, 0.78)","0.70 (0.50, 0.93)","2.77 (2.34, 3.28)","4.43 (3.78, 5.10)","1.24 (1.02, 1.51)","0.97 (0.77, 1.23)","0.61 (0.46, 0.81)","0.53 (0.38, 0.73)","-2.15 (-37.37, 53.53)"
"Saunders County, Nebraska",31155,"0.38 (0.25, 0.56)","0.52 (0.37, 0.72)","2.35 (1.84, 2.96)","4.01 (3.20, 4.97)","1.00 (0.73, 1.35)","0.80 (0.56, 1.12)","0.48 (0.33, 0.71)","0.39 (0.25, 0.58)","1.82 (-36.91, 62.36)"
"Scotts Bluff County, Nebraska",31157,"0.95 (0.65, 1.37)","1.22 (0.93, 1.62)","4.50 (3.71, 5.44)","7.50 (6.20, 8.86)","2.21 (1.71, 2.80)","1.80 (1.33, 2.37)","1.16 (0.80, 1.61)","0.98 (0.67, 1.39)","3.16 (-35.65, 63.22)"
"Seward County, Nebraska",31159,"0.49 (0.31, 0.75)","0.66 (0.45, 0.93)","2.83 (2.19, 3.62)","4.77 (3.75, 5.98)","1.30 (0.92, 1.75)","0.98 (0.66, 1.40)","0.58 (0.35, 0.87)","0.46 (0.27, 0.75)","-5.79 (-42.66, 46.19)"
"Sheridan County, Nebraska",31161,"0.78 (0.52, 1.11)","0.96 (0.67, 1.34)","3.72 (2.81, 4.71)","6.45 (5.02, 8.03)","1.87 (1.34, 2.53)","1.52 (1.02, 2.07)","0.95 (0.59, 1.38)","0.78 (0.47, 1.19)","-0.16 (-37.55, 56.53)"
"Sherman County, Nebraska",31163,"0.49 (0.31, 0.74)","0.61 (0.41, 0.89)","2.77 (2.00, 3.72)","4.92 (3.53, 6.49)","1.19 (0.81, 1.71)","0.90 (0.56, 1.39)","0.51 (0.29, 0.82)","0.40 (0.21, 0.66)","-17.31 (-51.93, 35.07)"
"Sioux County, Nebraska",31165,"0.50 (0.33, 0.73)","0.59 (0.41, 0.84)","2.29 (1.71, 3.01)","4.03 (3.07, 5.11)","1.01 (0.70, 1.37)","0.79 (0.55, 1.14)","0.46 (0.29, 0.68)","0.36 (0.22, 0.55)","-28.25 (-55.66, 14.45)"
"Stanton County, Nebraska",31167,"0.46 (0.30, 0.70)","0.61 (0.42, 0.84)","2.66 (1.98, 3.40)","4.42 (3.42, 5.62)","1.21 (0.86, 1.67)","0.96 (0.63, 1.38)","0.59 (0.36, 0.91)","0.47 (0.29, 0.73)","3.54 (-35.73, 68.73)"
"Thayer County, Nebraska",31169,"0.45 (0.29, 0.69)","0.60 (0.41, 0.84)","2.72 (2.03, 3.50)","4.62 (3.57, 5.87)","1.15 (0.80, 1.56)","0.88 (0.57, 1.30)","0.50 (0.30, 0.79)","0.40 (0.23, 0.65)","-11.13 (-46.53, 45.43)"
"Thomas County, Nebraska",31171,"0.51 (0.31, 0.77)","0.65 (0.42, 0.94)","2.68 (1.86, 3.61)","4.63 (3.34, 6.12)","1.22 (0.80, 1.78)","0.96 (0.59, 1.47)","0.60 (0.34, 0.97)","0.49 (0.26, 0.84)","-3.07 (-42.79, 59.48)"
"Thurston County, Nebraska",31173,"0.93 (0.60, 1.36)","1.41 (0.95, 1.99)","6.72 (5.16, 8.59)","11.91 (9.46, 14.78)","3.73 (2.70, 4.92)","3.08 (2.14, 4.20)","1.87 (1.20, 2.69)","1.55 (0.99, 2.31)","66.64 (5.79, 158.55)"
"Valley County, Nebraska",31175,"0.55 (0.32, 0.85)","0.73 (0.47, 1.09)","3.26 (2.38, 4.39)","5.46 (4.09, 6.88)","1.48 (0.97, 2.07)","1.16 (0.72, 1.70)","0.68 (0.38, 1.11)","0.54 (0.29, 0.90)","-1.22 (-44.48, 67.30)"
"Washington County, Nebraska",31177,"0.46 (0.30, 0.68)","0.64 (0.46, 0.89)","2.78 (2.19, 3.52)","4.60 (3.60, 5.72)","1.30 (0.92, 1.71)","1.04 (0.74, 1.41)","0.64 (0.42, 0.94)","0.55 (0.34, 0.84)","20.00 (-25.97, 93.28)"
"Wayne County, Nebraska",31179,"0.43 (0.29, 0.64)","0.60 (0.43, 0.82)","2.68 (2.07, 3.44)","4.48 (3.52, 5.62)","1.24 (0.91, 1.68)","1.00 (0.69, 1.40)","0.64 (0.42, 0.94)","0.53 (0.33, 0.79)","21.44 (-25.90, 88.58)"
"Webster County, Nebraska",31181,"0.49 (0.31, 0.73)","0.67 (0.46, 0.93)","3.30 (2.48, 4.25)","5.91 (4.48, 7.47)","1.47 (1.00, 2.06)","1.12 (0.70, 1.62)","0.68 (0.41, 1.06)","0.56 (0.30, 0.87)","14.48 (-33.34, 92.00)"
"Wheeler County, Nebraska",31183,"0.42 (0.25, 0.63)","0.52 (0.34, 0.74)","2.37 (1.74, 3.12)","4.32 (3.18, 5.56)","1.09 (0.75, 1.54)","0.85 (0.55, 1.26)","0.51 (0.30, 0.79)","0.39 (0.22, 0.65)","-7.11 (-45.47, 48.84)"
"York County, Nebraska",31185,"0.48 (0.30, 0.72)","0.63 (0.43, 0.91)","2.57 (1.97, 3.32)","4.29 (3.35, 5.54)","1.17 (0.82, 1.59)","0.92 (0.61, 1.33)","0.55 (0.34, 0.86)","0.45 (0.26, 0.71)","-4.75 (-42.47, 47.81)"
Nevada,32,"1.28 (1.11, 1.47)","2.03 (1.81, 2.25)","8.35 (7.92, 8.82)","13.44 (12.93, 13.95)","4.99 (4.72, 5.30)","4.47 (4.18, 4.78)","2.71 (2.46, 2.96)","2.50 (2.28, 2.74)","94.62 (63.31, 134.19)"
